time posx posy posz velx vely velz accx accy accz omg1 omg2 omg3 omg4 epot ecin emec 
0.05 0.00 0.00 0.01 0.00 0.00 0.16 0.00 0.00 3.24 1.60 1.80 2.00 1.80 0.12 0.01 0.13 
0.10 0.00 0.00 0.03 0.00 0.00 0.32 0.00 0.00 3.24 2.00 1.80 1.60 1.80 0.32 0.05 0.37 
0.15 0.00 0.00 0.06 0.00 0.00 0.49 0.00 0.00 3.24 1.60 1.80 2.00 1.80 0.60 0.12 0.71 
0.20 0.00 0.00 0.10 0.00 0.00 0.65 0.01 0.01 3.24 1.60 1.80 2.00 1.80 0.95 0.21 1.16 
0.25 0.00 0.00 0.14 0.00 0.00 0.81 0.01 0.01 3.24 1.60 1.80 2.00 1.80 1.39 0.33 1.72 
0.30 0.00 0.00 0.19 0.00 0.00 0.97 0.02 0.02 3.24 1.60 1.80 2.00 1.80 1.91 0.47 2.38 
0.35 0.00 0.00 0.26 0.00 0.00 1.13 0.04 0.04 3.24 1.60 1.80 2.00 1.80 2.50 0.64 3.14 
0.40 0.00 0.00 0.32 0.01 0.01 1.30 0.05 0.05 3.24 1.60 1.80 2.00 1.80 3.18 0.84 4.02 
0.45 0.00 0.00 0.40 0.01 0.01 1.46 0.07 0.07 3.24 1.60 1.80 2.00 1.80 3.93 1.06 4.99 
0.50 0.00 0.00 0.49 0.02 0.02 1.62 0.09 0.09 3.24 1.60 1.80 2.00 1.80 4.76 1.31 6.08 
0.55 0.00 0.00 0.58 0.02 0.02 1.78 0.12 0.12 3.24 1.60 1.80 2.00 1.80 5.68 1.59 7.26 
0.60 0.01 0.01 0.68 0.03 0.03 1.94 0.15 0.15 3.24 1.60 1.80 2.00 1.80 6.67 1.89 8.56 
0.65 0.01 0.01 0.79 0.04 0.04 2.11 0.18 0.18 3.24 1.60 1.80 2.00 1.80 7.74 2.22 9.96 
0.70 0.01 0.01 0.91 0.05 0.05 2.27 0.21 0.21 3.24 1.60 1.80 2.00 1.80 8.89 2.57 11.46 
0.75 0.01 0.01 1.03 0.06 0.06 2.43 0.25 0.25 3.24 1.80 2.00 1.80 1.60 10.12 2.95 13.07 
0.80 0.02 0.02 1.17 0.07 0.07 2.59 0.28 0.29 3.23 1.80 2.00 1.80 1.60 11.43 3.36 14.79 
0.85 0.02 0.02 1.31 0.09 0.09 2.75 0.30 0.33 3.23 1.80 2.00 1.80 1.60 12.82 3.80 16.61 
0.90 0.03 0.03 1.46 0.11 0.11 2.91 0.33 0.37 3.23 1.80 2.00 1.80 1.60 14.28 4.26 18.54 
0.95 0.03 0.04 1.62 0.12 0.13 3.08 0.35 0.42 3.23 1.80 2.00 1.80 1.60 15.83 4.75 20.58 
1.00 0.04 0.04 1.78 0.14 0.15 3.24 0.37 0.47 3.23 1.80 2.00 1.80 1.60 17.46 5.26 22.72 
1.05 0.05 0.05 1.96 0.16 0.18 3.40 0.39 0.52 3.22 1.80 2.00 1.80 1.60 19.16 5.80 24.96 
1.10 0.06 0.06 2.14 0.18 0.21 3.56 0.40 0.58 3.22 1.80 2.00 1.80 1.60 20.94 6.37 27.32 
1.15 0.07 0.08 2.33 0.20 0.24 3.72 0.41 0.64 3.22 1.80 2.00 1.80 1.60 22.81 6.97 29.78 
1.20 0.08 0.09 2.53 0.22 0.28 3.88 0.42 0.70 3.21 2.00 1.80 1.60 1.80 24.75 7.59 32.34 
1.25 0.10 0.11 2.73 0.24 0.31 4.04 0.42 0.76 3.21 2.00 1.80 1.60 1.80 26.77 8.24 35.01 
1.30 0.11 0.13 2.95 0.26 0.36 4.20 0.42 0.81 3.21 2.00 1.80 1.60 1.80 28.87 8.92 37.79 
1.35 0.12 0.15 3.17 0.29 0.40 4.36 0.42 0.86 3.20 2.00 1.80 1.60 1.80 31.04 9.63 40.68 
1.40 0.14 0.17 3.40 0.31 0.44 4.52 0.41 0.91 3.20 2.00 1.80 1.60 1.80 33.30 10.37 43.67 
1.45 0.16 0.20 3.64 0.33 0.49 4.68 0.41 0.95 3.20 2.00 1.80 1.60 1.80 35.63 11.13 46.76 
1.50 0.17 0.23 3.88 0.35 0.54 4.84 0.40 1.00 3.20 2.00 1.80 1.60 1.80 38.04 11.93 49.97 
1.55 0.19 0.26 4.14 0.37 0.59 5.00 0.38 1.04 3.19 2.00 1.80 1.60 1.80 40.53 12.75 53.28 
1.60 0.21 0.29 4.40 0.38 0.65 5.16 0.37 1.07 3.19 2.00 1.80 1.60 1.80 43.10 13.60 56.70 
1.65 0.23 0.33 4.67 0.40 0.70 5.32 0.35 1.11 3.19 2.00 1.80 1.60 1.80 45.75 14.48 60.23 
1.70 0.25 0.37 4.95 0.42 0.76 5.48 0.33 1.14 3.19 2.00 1.80 1.60 1.80 48.47 15.39 63.86 
1.75 0.28 0.41 5.23 0.43 0.82 5.64 0.30 1.16 3.18 2.00 1.80 1.60 1.80 51.27 16.33 67.60 
1.80 0.30 0.45 5.53 0.45 0.88 5.80 0.28 1.19 3.18 2.00 1.80 1.60 1.80 54.15 17.29 71.44 
1.85 0.32 0.50 5.83 0.46 0.94 5.96 0.24 1.21 3.18 2.00 1.80 1.60 1.80 57.11 18.29 75.40 
1.90 0.35 0.55 6.14 0.47 1.00 6.12 0.21 1.23 3.18 2.00 1.80 1.60 1.80 60.15 19.31 79.46 
1.95 0.37 0.61 6.46 0.48 1.06 6.28 0.18 1.24 3.18 1.80 1.60 1.80 2.00 63.26 20.36 83.62 
2.00 0.39 0.67 6.77 0.48 1.11 6.26 0.11 0.92 -0.31 1.54 1.34 1.54 1.74 66.32 20.32 86.64 
2.05 0.42 0.72 7.07 0.49 1.14 6.14 0.07 0.73 -2.37 1.36 1.16 1.36 1.56 69.30 19.63 88.93 
